Month,Include three kind of keywords
2009/11,1
2010/01,1
2010/03,2
2010/10,1
2011/01,1
2011/03,1
2011/05,1
2011/11,2
2011/12,1
2012/01,1
2012/03,1
2012/11,1
2013/07,1
2015/03,1
2015/06,1
2016/01,1
2016/10,1
2016/12,6
2017/02,1
2017/03,1
2017/06,1
2019/09,1
2020/04,2
2020/05,1
2020/06,1
2020/09,2
2020/10,1
2020/11,1
2020/12,2
2021/01,1
2021/03,2
2021/04,1
2021/05,1
2021/07,1
2021/10,1
2022/01,1
2022/02,2
2022/03,1
2022/04,2
2022/06,1
2022/08,1
2022/09,1
