"Date","Android","iOS","Samsung","Windows","SymbianOS","Sony Ericsson","Unknown","Linux","BlackBerry OS","Other"
2009-01,0.01,32.79,0,2.88,15.4,0,47.95,0.11,0.01,0.85
2009-02,0.07,19.01,0,1.79,11.61,0,66.84,0,0.01,0.66
2009-03,0.2,40.96,0,2.74,17.81,0,36,0,0.03,2.26
2009-04,0.14,34.74,0,2.67,15.01,0,45.57,0,0.03,1.84
2009-05,0.12,26.04,0,2.48,18.47,0,50.8,0,0.06,2.03
2009-06,0.01,17.68,0,2.34,14.92,0,63.96,0,0.05,1.04
2009-07,1.49,17.18,0.29,1.91,14.44,3.83,60.13,0,0.07,0.65
2009-08,2.2,21.99,1.62,2.9,26.84,24.12,19.17,0,0.18,0.98
2009-09,3.1,26.42,0.74,2.61,26.92,23.91,15.23,0,0.15,0.92
2009-10,3.34,30.27,1.26,2.11,28.78,18.41,15.15,0,0.18,0.51
2009-11,3.59,34.8,0.89,2.37,23.3,15.74,18.28,0,0.48,0.56
2009-12,7.36,38.03,0.82,2.33,21.86,18.22,10.5,0,0.36,0.53
2010-01,9.96,35.97,0.84,1.97,20.8,16.13,13.36,0,0.35,0.62
2010-02,9.25,40.87,0.88,1.41,16.97,16.55,12.84,0,0.33,0.89
2010-03,11.14,40.61,1.02,1.12,19.73,16.25,8.58,0,0.42,1.13
2010-04,9.45,39.14,2.03,0.76,19.75,16.01,11.89,0,0.38,0.57
2010-05,4.23,45.24,3.08,0.48,15.86,15.87,14.28,0,0.37,0.6
2010-06,4.49,43.99,2.33,0.49,15.87,16.6,15.07,0,0.6,0.57
2010-07,16.16,43.59,2.33,0.95,16.83,14,4.98,0,0.57,0.58
2010-08,21.25,38.01,2.39,0.47,18.41,15.71,2.85,0,0.43,0.49
2010-09,24.98,35.28,1.96,0.54,16.41,16.98,2.74,0,0.82,0.29
2010-10,26.49,38.82,1.68,0.66,15.02,14.68,1.88,0,0.48,0.29
2010-11,27.48,40.1,1.7,0.59,12.33,15.26,1.53,0,0.63,0.38
2010-12,31.28,40.78,1.7,0.57,10.55,12.38,1.28,0,0.68,0.77
2011-01,34.23,40.85,1.4,0.94,9.21,11.15,1.29,0,0.39,0.55
2011-02,36.2,40.21,1.29,0.98,8.29,10.91,1.05,0,0.54,0.52
2011-03,38.55,35.74,1.45,0.87,9.47,11.84,0.99,0,0.75,0.34
2011-04,41.06,33.56,1.46,0.79,9.23,12.27,0.79,0,0.44,0.39
2011-05,44.71,31.78,1.12,0.7,8.47,11.17,0.98,0,0.32,0.74
2011-06,44.15,31.43,0.93,0.67,8.3,12.25,0.94,0,0.61,0.72
2011-07,43.03,30.88,1.08,0.76,9.81,12.21,1.02,0,0.43,0.79
2011-08,48.87,31.77,0.77,0.57,7.37,8.9,0.84,0,0.31,0.6
2011-09,53.94,31.1,0.71,0.71,5.55,6.45,0.74,0,0.29,0.51
2011-10,55.92,31.55,0.62,0.56,4.7,5.31,0.58,0.08,0.23,0.44
2011-11,55.31,34.23,0.42,0.79,3.91,4.04,0.57,0.14,0.19,0.4
2011-12,59.04,31.25,0.36,1.09,3.59,3.38,0.55,0.14,0.18,0.42
2012-01,58.2,33.9,0.32,0.99,2.76,2.73,0.4,0.16,0.14,0.4
2012-02,59.7,34.18,0.2,0.97,2.25,1.84,0.38,0.16,0.09,0.24
2012-03,65.15,29.04,0.23,0.9,2.02,1.78,0.33,0.17,0.08,0.29
2012-04,66.57,27.85,0.19,1,1.92,1.58,0.29,0.15,0.09,0.36
2012-05,68.98,25.98,0.18,1.01,1.44,1.02,0.16,0.58,0.08,0.56
2012-06,67.88,27.24,0.1,0.98,1.13,0.85,0.16,1,0.09,0.56
2012-07,69.27,26.05,0.11,0.94,0.97,0.61,0.18,1.27,0.07,0.52
2012-08,70.57,25.34,0.07,0.96,0.67,0.41,0.11,1.39,0.06,0.43
2012-09,73.13,23.23,0.05,1.01,0.59,0.3,0.09,1.19,0.06,0.35
2012-10,74.74,21.68,0.05,1.16,0.55,0.23,0.08,1.13,0.05,0.33
2012-11,76.61,20.12,0.06,1.27,0.43,0.18,0.07,0.93,0.04,0.28
2012-12,76.48,20.18,0.04,1.73,0.36,0.19,0.08,0.68,0.03,0.22
2013-01,75.46,21.05,0.05,1.94,0.37,0.16,0.09,0.6,0.03,0.24
2013-02,75.73,21.79,0.03,1.08,0.33,0.13,0.08,0.57,0.03,0.24
2013-03,75.42,22.17,0.02,1.12,0.27,0.12,0.07,0.57,0.04,0.2
2013-04,75.69,21.92,0.02,1.17,0.28,0.11,0.07,0.51,0.03,0.21
2013-05,76.83,21.03,0.02,1.12,0.24,0.08,0.07,0.39,0.05,0.17
2013-06,78.25,19.75,0.01,1.16,0.18,0.06,0.09,0.31,0.05,0.14
2013-07,79.04,18.91,0.01,1.13,0.17,0.06,0.16,0.36,0.04,0.12
2013-08,78.88,19.14,0.01,1.17,0.12,0.04,0.15,0.33,0.04,0.13
2013-09,79.67,18.34,0.01,1.22,0.13,0.04,0.14,0.29,0.04,0.12
2013-10,80.68,17.26,0.02,1.25,0.16,0.04,0.16,0.24,0.04,0.15
2013-11,80.81,17.36,0.01,1.13,0.15,0.04,0.12,0.22,0.04,0.13
2013-12,80.78,17.39,0.01,1.1,0.13,0.03,0.13,0.24,0.03,0.15
2014-01,80.29,17.98,0.01,1.08,0.11,0.03,0.12,0.23,0.03,0.13
2014-02,81.87,16.65,0.01,1.02,0.06,0.01,0.08,0.16,0.02,0.11
2014-03,82.45,16.21,0.01,0.93,0.05,0.02,0.07,0.13,0.02,0.1
2014-04,83.66,15.07,0.01,0.96,0.04,0.01,0.05,0.1,0.02,0.07
2014-05,84.01,14.74,0.01,0.95,0.04,0.01,0.06,0.09,0.02,0.08
2014-06,84.63,14.26,0.01,0.84,0.04,0.01,0.05,0.08,0.02,0.07
2014-07,84.99,13.88,0.01,0.84,0.03,0.01,0.09,0.06,0.01,0.08
2014-08,85.37,13.26,0.01,0.82,0.02,0,0.39,0.05,0.01,0.05
2014-09,85.72,13.34,0.01,0.75,0.02,0,0.06,0.04,0.01,0.06
2014-10,82.74,16.49,0.01,0.61,0.02,0,0.03,0.03,0.01,0.05
2014-11,82.87,16.4,0.01,0.54,0.02,0.01,0.06,0.03,0.01,0.04
2014-12,83.7,15.6,0.01,0.52,0.02,0.01,0.05,0.03,0.01,0.04
2015-01,83.93,15.44,0.01,0.48,0.01,0,0.04,0.03,0.01,0.05
2015-02,83.41,16.03,0,0.43,0.01,0,0.02,0.03,0.01,0.04
2015-03,82.79,16.56,0,0.49,0.02,0,0.03,0.03,0.02,0.06
2015-04,82.02,17.33,0,0.43,0.01,0,0.11,0.03,0.02,0.05
2015-05,80.74,18.7,0,0.41,0.01,0,0.03,0.04,0.02,0.05
2015-06,80.22,19.18,0,0.43,0.01,0,0.04,0.04,0.02,0.05
2015-07,80.36,19.05,0.01,0.42,0.01,0,0.04,0.04,0.02,0.06
2015-08,80.76,18.67,0.01,0.39,0.01,0,0.04,0.05,0.02,0.06
2015-09,80.04,19.44,0,0.37,0.01,0,0.03,0.04,0.01,0.04
2015-10,78.71,20.8,0,0.36,0.01,0,0.03,0.04,0.01,0.04
2015-11,76.51,23.04,0,0.33,0.01,0,0.03,0.03,0.01,0.03
2015-12,75.88,23.62,0,0.34,0.01,0,0.03,0.03,0.04,0.04
2016-01,75.62,23.75,0,0.45,0.01,0,0.03,0.03,0.07,0.03
2016-02,74.86,24.47,0.01,0.51,0.01,0,0.03,0.03,0.07,0.03
2016-03,74.59,24.91,0.01,0.4,0.01,0,0.03,0.03,0.01,0.02
2016-04,72.73,26.67,0,0.45,0,0,0.03,0.02,0.06,0.02
2016-05,71.33,28.01,0,0.49,0,0,0.03,0.02,0.09,0.02
2016-06,71.98,27.45,0,0.42,0,0,0.03,0.02,0.06,0.03
2016-07,72.39,27.1,0,0.4,0,0,0.02,0.02,0.03,0.03
2016-08,71.06,28.48,0,0.36,0,0,0.03,0.02,0.02,0.03
2016-09,67.16,32.44,0,0.31,0,0,0.03,0.02,0.01,0.02
2016-10,66.47,33.13,0.01,0.3,0,0,0.04,0.02,0.01,0.02
2016-11,68.47,31.07,0.01,0.33,0,0,0.03,0.01,0.06,0.02
2016-12,68.32,31.3,0.01,0.27,0,0,0.04,0.01,0.04,0.02
2017-01,68.49,31.18,0.01,0.21,0,0,0.05,0.01,0.02,0.02
2017-02,68.79,30.92,0.01,0.19,0,0,0.04,0.01,0.02,0.01
2017-03,67.17,32.47,0.01,0.23,0,0,0.04,0.01,0.05,0.01
2017-04,67.9,31.77,0.02,0.21,0,0,0.03,0.01,0.03,0.01
2017-05,67.57,32.1,0.02,0.19,0.01,0,0.05,0.01,0.03,0.01
2017-06,66.53,33.19,0.04,0.17,0,0,0.03,0.01,0.02,0.02
2017-07,65.97,33.71,0.05,0.17,0,0,0.04,0.01,0.03,0.01
2017-08,64.79,34.82,0.06,0.12,0,0,0.04,0.01,0.14,0.02
2017-09,65.39,34.24,0.05,0.17,0,0,0.04,0.01,0.09,0.01
2017-10,66.27,33.44,0.06,0.12,0,0,0.08,0,0.02,0.01
2017-11,66.4,33.34,0.06,0.12,0,0,0.05,0.01,0.01,0.01
2017-12,62.52,37.19,0.07,0.11,0,0,0.07,0.01,0.03,0.01
2018-01,62.68,37.06,0.09,0.1,0,0,0.03,0.01,0.01,0.02
2018-02,61.46,38.22,0.15,0.06,0,0,0.05,0.01,0.05,0.01
2018-03,61.77,37.88,0.14,0.06,0,0,0.04,0.01,0.1,0
2018-04,63.51,36.2,0.15,0.06,0,0,0.07,0,0.01,0.01
2018-05,61.97,37.74,0.12,0.07,0.02,0,0.05,0,0.01,0.01
2018-06,60.25,39.5,0.14,0.07,0,0,0.03,0.01,0,0
2018-07,54.92,44.85,0.17,0.04,0,0,0.01,0,0,0
2018-08,45.15,54.58,0.23,0.02,0,0,0.01,0,0,0
2018-09,48.7,51.05,0.22,0.02,0,0,0.01,0,0,0
2018-10,48.99,50.77,0.2,0.02,0,0,0.01,0,0,0
2018-11,43.52,56.17,0.26,0.03,0,0,0.01,0,0,0
2018-12,45.55,54.11,0.29,0.03,0,0,0.01,0,0.01,0
2019-01,44.36,55.35,0.25,0.02,0,0,0.01,0,0.01,0
2019-02,41.79,57.95,0.22,0.02,0,0,0.01,0,0,0
2019-03,49.61,50.17,0.19,0.02,0,0,0.01,0,0,0
2019-04,45.97,53.79,0.2,0.02,0,0,0.01,0,0,0
2019-05,50.41,49.29,0.27,0.01,0,0,0.01,0,0,0
2019-06,54.23,45.44,0.28,0.01,0,0,0.01,0,0.02,0
2019-07,53.77,45.93,0.27,0.02,0,0,0.01,0,0,0
2019-08,53.59,46.03,0.32,0.04,0,0,0.01,0,0,0
2019-09,54.14,45.49,0.33,0.02,0,0,0.01,0,0,0
2019-10,58.19,41.31,0.45,0.03,0,0,0.02,0,0,0
2019-11,56.34,43.2,0.42,0.02,0,0,0.02,0,0,0
2019-12,56.32,43.24,0.41,0.01,0,0,0.02,0,0,0
2020-01,54.47,45.07,0.44,0.01,0,0,0.02,0,0,0
2020-02,51.79,47.74,0.43,0.02,0,0,0.02,0,0,0
2020-03,51.8,47.63,0.51,0.03,0,0,0.02,0,0,0
2020-04,52.45,46.94,0.57,0,0,0,0.02,0,0,0
2020-05,53.24,46.11,0.62,0,0,0,0.02,0,0,0
2020-06,53.86,45.51,0.6,0.01,0,0,0.02,0,0,0
2020-07,53.79,45.47,0.7,0.01,0,0,0.02,0,0,0
2020-08,52.19,47.01,0.77,0,0,0,0.02,0,0,0
2020-09,53.1,46.06,0.82,0,0,0,0.02,0,0,0
2020-10,53.63,45.54,0.81,0,0,0,0.02,0,0,0
2020-11,52.4,46.8,0.78,0,0,0,0.01,0,0,0
2020-12,52.29,46.95,0.75,0,0,0,0.01,0,0,0
2021-01,50.29,48.87,0.83,0,0,0,0.01,0,0,0
2021-02,49.66,49.29,1.02,0,0,0,0.02,0,0,0
2021-03,49.76,49.15,1.08,0,0,0,0.01,0,0,0
2021-04,49.42,49.41,1.15,0,0,0,0.01,0,0,0
2021-05,48.38,50.34,1.27,0,0,0,0.01,0,0,0
2021-06,46.74,51.99,1.26,0,0,0,0.01,0,0,0
2021-07,46.17,52.55,1.27,0,0,0,0.01,0,0,0
2021-08,47.89,50.75,1.34,0,0,0,0.01,0,0,0
2021-09,49.83,48.79,1.37,0,0,0,0.01,0,0,0
2021-10,50.9,47.69,1.39,0,0,0,0.01,0,0,0
2021-11,50.43,48.11,1.45,0,0,0,0.01,0,0,0
2021-12,48.67,49.84,1.48,0,0,0,0.01,0,0,0
2022-01,47.75,50.75,1.48,0,0,0,0.01,0,0,0
2022-02,46.75,51.75,1.48,0,0,0,0,0,0,0
2022-03,46.62,51.94,1.43,0,0,0,0,0,0,0
2022-04,46.05,52.47,1.48,0,0,0,0,0,0,0
2022-05,46.42,51.95,1.62,0,0,0,0,0,0,0
2022-06,47.65,50.46,1.88,0,0,0,0,0,0,0
2022-07,46.65,51.2,2.14,0,0,0,0,0,0,0
2022-08,46.97,50.87,2.14,0.01,0,0,0.01,0,0,0
2022-09,47.34,50.56,2.08,0.01,0,0,0.01,0,0,0
2022-10,47.17,50.75,2.07,0.01,0,0,0.01,0,0,0
2022-11,46.87,50.85,2.25,0.01,0,0,0.01,0,0,0
2022-12,47.07,50.52,2.4,0.01,0,0,0.01,0,0,0
2023-01,45.69,52.01,2.29,0.01,0,0,0,0,0,0
2023-02,44.51,53.09,2.4,0.01,0,0,0,0,0,0
2023-03,43.53,54.05,2.41,0.01,0,0,0,0,0,0
2023-04,41.19,56.07,2.73,0.01,0,0,0,0,0,0
2023-05,39.52,57.8,2.67,0.01,0,0,0.01,0,0,0
2023-06,40.35,57.15,2.49,0,0,0,0.01,0,0,0
2023-07,40.47,56.99,2.53,0,0,0,0,0,0,0
2023-08,41.47,55.88,2.64,0,0,0,0,0,0,0
2023-09,40.75,57.5,1.73,0.01,0,0,0,0.01,0,0
2023-10,40.59,57.62,1.77,0.01,0,0,0,0,0,0
2023-11,39.35,58.82,1.81,0.01,0,0,0,0,0,0
2023-12,39.42,58.54,2.03,0.01,0,0,0,0,0,0
